rho,c,p,n,k,delta,margin_rE_minus_delta,plurality_cert,exact_center_cert,gap
1/16,0.25,65537,32,2,0.78125,0.135169,4,4,0
1/16,0.25,65537,64,4,0.796875,0.119544,4,4,0
1/16,0.25,65537,128,8,0.789062,0.127357,4,4,0
1/16,0.25,65537,256,16,0.792969,0.123451,4,4,0
1/16,0.25,65537,512,32,0.791016,0.125404,4,4,0
1/16,0.25,65537,1024,64,0.791992,0.124427,4,4,0
1/16,0.25,65537,2048,128,0.791504,0.124916,4,4,0
1/16,0.25,65537,4096,256,0.791504,0.124916,4,4,0
1/16,0.5,65537,32,2,0.84375,0.072669,6,6,0
1/16,0.5,65537,64,4,0.828125,0.088294,5,5,0
1/16,0.5,65537,128,8,0.835938,0.080482,5,5,0
1/16,0.5,65537,256,16,0.832031,0.084388,5,5,0
1/16,0.5,65537,512,32,0.833984,0.082435,5,5,0
1/16,0.5,65537,1024,64,0.833008,0.083412,5,5,0
1/16,0.5,65537,2048,128,0.833008,0.083412,5,5,0
1/16,0.5,65537,4096,256,0.833252,0.083168,5,5,0
1/16,0.75,65537,32,2,0.875,0.041419,7,8,1
1/16,0.75,65537,64,4,0.875,0.041419,7,7,0
1/16,0.75,65537,128,8,0.875,0.041419,7,7,0
1/16,0.75,65537,256,16,0.875,0.041419,7,7,0
1/16,0.75,65537,512,32,0.875,0.041419,7,8,1
1/16,0.75,65537,1024,64,0.875,0.041419,7,8,1
1/16,0.75,65537,2048,128,0.875,0.041419,7,8,1
1/16,0.75,65537,4096,256,0.874756,0.041664,7,7,0
1/4,0.25,65537,32,8,0.5625,0.136796,2,2,0
1/4,0.25,65537,64,16,0.546875,0.152421,2,2,0
1/4,0.25,65537,128,32,0.546875,0.152421,2,2,0
1/4,0.25,65537,256,64,0.550781,0.148514,2,2,0
1/4,0.25,65537,512,128,0.550781,0.148514,2,2,0
1/4,0.25,65537,1024,256,0.549805,0.149491,2,2,0
1/4,0.25,65537,2048,512,0.549805,0.149491,2,2,0
1/4,0.25,65537,4096,1024,0.549805,0.149491,2,2,0
1/4,0.5,65537,32,8,0.59375,0.105546,2,2,0
1/4,0.5,65537,64,16,0.59375,0.105546,2,2,0
1/4,0.5,65537,128,32,0.601562,0.097733,2,2,0
1/4,0.5,65537,256,64,0.601562,0.097733,2,2,0
1/4,0.5,65537,512,128,0.599609,0.099686,2,2,0
1/4,0.5,65537,1024,256,0.599609,0.099686,2,2,0
1/4,0.5,65537,2048,512,0.599609,0.099686,2,2,0
1/4,0.5,65537,4096,1024,0.599609,0.099686,2,2,0
1/4,0.75,65537,32,8,0.65625,0.043046,3,3,0
1/4,0.75,65537,64,16,0.65625,0.043046,3,3,0
1/4,0.75,65537,128,32,0.648438,0.050858,2,2,0
1/4,0.75,65537,256,64,0.648438,0.050858,2,2,0
1/4,0.75,65537,512,128,0.650391,0.048905,2,2,0
1/4,0.75,65537,1024,256,0.649414,0.049881,2,2,0
1/4,0.75,65537,2048,512,0.649414,0.049881,2,2,0
1/4,0.75,65537,4096,1024,0.649414,0.049881,2,2,0
1/8,0.25,65537,32,4,0.6875,0.153527,3,3,0
1/8,0.25,65537,64,8,0.6875,0.153527,3,3,0
1/8,0.25,65537,128,16,0.695312,0.145715,3,3,0
1/8,0.25,65537,256,32,0.695312,0.145715,3,3,0
1/8,0.25,65537,512,64,0.695312,0.145715,3,3,0
1/8,0.25,65537,1024,128,0.695312,0.145715,3,3,0
1/8,0.25,65537,2048,256,0.695312,0.145715,3,3,0
1/8,0.25,65537,4096,512,0.695068,0.145959,3,3,0
1/8,0.5,65537,32,4,0.75,0.091027,4,4,0
1/8,0.5,65537,64,8,0.75,0.091027,4,4,0
1/8,0.5,65537,128,16,0.742188,0.09884,4,4,0
1/8,0.5,65537,256,32,0.742188,0.09884,4,4,0
1/8,0.5,65537,512,64,0.744141,0.096887,4,4,0
1/8,0.5,65537,1024,128,0.744141,0.096887,3,3,0
1/8,0.5,65537,2048,256,0.743652,0.097375,3,3,0
1/8,0.5,65537,4096,512,0.743652,0.097375,3,3,0
1/8,0.75,65537,32,4,0.78125,0.059777,4,4,0
1/8,0.75,65537,64,8,0.796875,0.044152,4,4,0
1/8,0.75,65537,128,16,0.789062,0.051965,4,4,0
1/8,0.75,65537,256,32,0.792969,0.048059,4,4,0
1/8,0.75,65537,512,64,0.792969,0.048059,4,4,0
1/8,0.75,65537,1024,128,0.791992,0.049035,4,4,0
1/8,0.75,65537,2048,256,0.79248,0.048547,4,4,0
1/8,0.75,65537,4096,512,0.79248,0.048547,4,4,0
